name;category
reltype1;relatives
reltype2;relatives
reltype3;relatives
reltype4;relatives
reltype5;relatives
diabtype1;diabetes
diabtype2;diabetes
diabtype3;diabetes
diabtype4;diabetes
diabtype5;diabetes
diabtype6;diabetes
diabtype7;diabetes
antibodytype1;autoantibody
antibodytype2;autoantibody
antibodytype3;autoantibody
antibodytype4;autoantibody
antibodytype5;autoantibody
antibodytype6;autoantibody
antibodytype7;autoantibody
antibodytype8;autoantibody
antibodytype9;autoantibody
antibodytype10;autoantibody
antibodytype11;autoantibody
antibodytype12;autoantibody
