id,name,group
1,14C-Helizo kemény kapszula,oral
2,"5-FLUOROURACIL ""EBEWE""  50 mg/ml koncentrátum oldatos infúzióhoz",oral
3,Abasaglar 100 egység/ml oldatos injekció előretöltött injekciós tollban,insulin
4,Abasaglar 100 egység/ml oldatos injekció patronban,insulin
5,ABELCET 5 mg/ml szuszpenziós infúzió,oral
6,Abies nigra golyócskák (  5CH),oral
7,Abies nigra golyócskák (  6CH),oral
8,Abies nigra golyócskák (  9CH),oral
9,Abies nigra golyócskák ( 12CH),oral
10,Abies nigra golyócskák ( 15CH),oral
11,Abies nigra golyócskák ( 30CH),oral
12,Abies nigra golyócskák (200CH),oral
13,Abilify 1 mg/ml belsőleges oldat,oral
14,Abilify 10 mg szájban diszpergálódó tabletta,oral
15,Abilify 10 mg tabletta,oral
16,Abilify 15 mg szájban diszpergálódó tabletta,oral
17,Abilify 15 mg tabletta,oral
18,Abilify 30 mg szájban diszpergálódó tabletta,oral
19,Abilify 30 mg tabletta,oral
20,Abilify 5 mg szájban diszpergálódó tabletta,oral
21,Abilify 5 mg tabletta,oral
22,ABONDA  75 mg filmtabletta,oral
23,ABONDA 150 mg filmtabletta,oral
24,ABONDA 300 mg filmtabletta,oral
25,"ABONDA PLUS 150 mg/12,5 mg filmtabletta",oral
26,"ABONDA PLUS 300 mg/12,5 mg filmtabletta",oral
27,ABONDA PLUS 300 mg/25 mg filmtabletta,oral
28,Abraxane 5 mg/ml por szuszpenziós infúzióhoz,oral
29,ABSENOR 300 mg módosított hatóanyagleadású tabletta,oral
30,ABSENOR 500 mg módosított hatóanyagleadású tabletta,oral
31,ACARBOSE GENEVIDA  50 mg tabletta,oral
32,ACARBOSE GENEVIDA 100 mg tabletta,oral
33,ACARBOSE MYLAN  50 mg tabletta,oral
34,ACARBOSE MYLAN 100 mg tabletta,oral
35,ACARBOSE TECNIMEDE  50 mg tabletta,oral
36,ACARBOSE TECNIMEDE 100 mg tabletta,oral
37,ACARBOSE-TEVA  50 mg tabletta,oral
38,ACARBOSE-TEVA 100 mg tabletta,oral
39,ACC 100 mg granulátum gyermekeknek,oral
40,ACC 100 mg pezsgőtabletta,oral
41,ACC 20 mg/ml belsőleges oldat gyermekeknek,oral
42,ACC 200 mg granulátum,oral
43,ACC 200 mg pezsgőtabletta,oral
44,ACC HOT 200 mg por belsőleges oldathoz,oral
45,ACC HOT 600 mg por belsőleges oldathoz,oral
46,ACC LONG 600 mg pezsgőtabletta,oral
47,ACCOLATE 20 mg filmtabletta,oral
48,ACCUPRO  20 mg filmtabletta,oral
49,ACCUPRO  5 mg filmtabletta,oral
50,ACCUPRO 10 mg filmtabletta,oral
51,ACCUPRO 20 mg filmtabletta,oral
52,"ACCUZIDE 10 mg/12,5 mg filmtabletta",oral
53,"ACCUZIDE 20 mg/12,5 mg filmtabletta",oral
54,ACECGEN 100 mg filmtabletta,oral
55,"ACEOMEL 12,5 mg tabletta",oral
56,ACEOMEL 25 mg tabletta,oral
57,ACEOMEL 50 mg tabletta,oral
58,ACEPRAMIN 4 g/10 ml koncentrátum oldatos infúzióhoz,oral
59,ACEPRAMIN granulátum,oral
60,"ACEPRIL  2,5 mg tabletta",oral
61,ACEPRIL  5 mg tabletta,oral
62,ACEPRIL 10 mg tabletta,oral
63,ACEPRIL 20 mg tabletta,oral
64,"ACEPRIL PLUSZ 20 mg/12,5 mg tabletta",oral
65,ACETENS 2 mg tabletta,oral
66,ACETENS 4 mg tabletta,oral
67,ACETENS 8 mg tabletta,oral
68,"ACETENS PLUS 2 mg/0,625 mg tabletta",oral
69,"ACETENS PLUS 4 mg/1,25 mg tabletta",oral
70,ACETILCISZTEIN-WAGNER 200 mg kemény kapszula,oral
71,ACICLOVIR AL 200 mg tabletta,oral
72,ACICLOVIR AL 400 mg tabletta,oral
73,ACICLOVIR AL 50 mg/g krém,oral
74,ACICLOVIR AL 800 mg tabletta,oral
75,ACIDA 20 mg gyomornedv-ellenálló tabletta,oral
76,ACIDO-GIT MAALOX belsőleges szuszpenzió,oral
77,ACIDO-GIT MAALOX belsőleges szuszpenzió tasakban,oral
78,ACIDO-GIT MAALOX rágótabletta,oral
79,ACIDOSTOP 20 mg gyomornedv-ellenálló tabletta,oral
80,ACIDOSTOP-RATIOPHARM 20 mg gyomornedv-ellenálló tabletta,oral
81,Acidum arsenicosum anhydricum (Arsenicum album) golyócskák (  3CH),oral
82,Acidum arsenicosum anhydricum (Arsenicum album) golyócskák (  5CH),oral
83,Acidum arsenicosum anhydricum (Arsenicum album) golyócskák (  6CH),oral
84,Acidum arsenicosum anhydricum (Arsenicum album) golyócskák (  9CH),oral
85,Acidum arsenicosum anhydricum (Arsenicum album) golyócskák ( 12CH),oral
86,Acidum arsenicosum anhydricum (Arsenicum album) golyócskák ( 15CH),oral
87,Acidum arsenicosum anhydricum (Arsenicum album) golyócskák ( 30CH),oral
88,Acidum arsenicosum anhydricum (Arsenicum album) golyócskák (200CH),oral
89,Acidum arsenicosum anhydricum (Arsenicum album) golyócskák (C    5),oral
90,Acidum arsenicosum anhydricum (Arsenicum album) golyócskák (C    6),oral
91,Acidum arsenicosum anhydricum (Arsenicum album) golyócskák (C    9),oral
92,Acidum arsenicosum anhydricum (Arsenicum album) golyócskák (C   12),oral
93,Acidum arsenicosum anhydricum (Arsenicum album) golyócskák (C   15),oral
94,Acidum arsenicosum anhydricum (Arsenicum album) golyócskák (C   30),oral
95,Acidum arsenicosum anhydricum (Arsenicum album) golyócskák (C  200),oral
96,Acidum arsenicosum anhydricum (Arsenicum album) golyócskák (C  5),oral
97,Acidum arsenicosum anhydricum (Arsenicum album) golyócskák (C  6),oral
98,Acidum arsenicosum anhydricum (Arsenicum album) golyócskák (C  9),oral
99,Acidum arsenicosum anhydricum (Arsenicum album) golyócskák (C 1000),oral
100,Acidum arsenicosum anhydricum (Arsenicum album) golyócskák (C 12),oral
101,Acidum arsenicosum anhydricum (Arsenicum album) golyócskák (C 15),oral
102,Acidum arsenicosum anhydricum (Arsenicum album) golyócskák (C 30),oral
103,Acidum arsenicosum anhydricum (Arsenicum album) golyócskák (C10000),oral
104,Acidum arsenicosum anhydricum (Arsenicum album) golyócskák (C200),oral
105,Acidum arsenicosum anhydricum (Arsenicum album) golyócskák (D  6),oral
106,Acidum arsenicosum anhydricum (Arsenicum album) golyócskák (D 12),oral
107,Acidum arsenicosum anhydricum (Arsenicum album) golyócskák (D 30),oral
108,Acidum arsenicosum anhydricum (Arsenicum album) golyócskák (D 6),oral
109,Acidum arsenicosum anhydricum (Arsenicum album) golyócskák (D10),oral
110,Acidum arsenicosum anhydricum (Arsenicum album) golyócskák (D12),oral
111,Acidum arsenicosum anhydricum (Arsenicum album) golyócskák (D200),oral
112,Acidum arsenicosum anhydricum (Arsenicum album) golyócskák (D30),oral
113,Acidum arsenicosum anhydricum (Arsenicum album) golyócskák (LM 1),oral
114,Acidum arsenicosum anhydricum (Arsenicum album) golyócskák (LM 2),oral
115,Acidum arsenicosum anhydricum (Arsenicum album) golyócskák (LM 3),oral
116,Acidum arsenicosum anhydricum (Arsenicum album) golyócskák (LM 6),oral
117,Acidum arsenicosum anhydricum (Arsenicum album) golyócskák (LM12),oral
118,Acidum arsenicosum anhydricum (Arsenicum album) golyócskák (LM18),oral
119,Acidum arsenicosum anhydricum (Arsenicum album) golyócskák (LM24),oral
120,Acidum arsenicosum anhydricum (Arsenicum album) golyócskák (LM30),oral
121,Acidum hydrofluoricum (Fluoricum acidum) golyócskák (   5CH),oral
122,Acidum hydrofluoricum (Fluoricum acidum) golyócskák (   6CH),oral
123,Acidum hydrofluoricum (Fluoricum acidum) golyócskák (   9CH),oral
124,Acidum hydrofluoricum (Fluoricum acidum) golyócskák (  12CH),oral
125,Acidum hydrofluoricum (Fluoricum acidum) golyócskák (  15CH),oral
126,Acidum hydrofluoricum (Fluoricum acidum) golyócskák (  30CH),oral
127,Acidum hydrofluoricum (Fluoricum acidum) golyócskák ( 200CH),oral
128,ACIDUM NICOTINICUM VASC 50 mg tabletta,oral
129,Acidum nitricum S Phcp golyócskák,oral
130,Acidum oxalicum golyócskák (  3CH),oral
131,Acidum oxalicum golyócskák (  5CH),oral
132,Acidum oxalicum golyócskák (  6CH),oral
133,Acidum oxalicum golyócskák (  9CH),oral
134,Acidum oxalicum golyócskák ( 12CH),oral
135,Acidum oxalicum golyócskák ( 15CH),oral
136,Acidum oxalicum golyócskák ( 30CH),oral
137,Acidum oxalicum golyócskák (200CH),oral
138,Acidum phosphoricum dilutum golyócskák (C   5),oral
139,Acidum phosphoricum dilutum golyócskák (C   6),oral
140,Acidum phosphoricum dilutum golyócskák (C   9),oral
141,Acidum phosphoricum dilutum golyócskák (C  12),oral
142,Acidum phosphoricum dilutum golyócskák (C  15),oral
143,Acidum phosphoricum dilutum golyócskák (C  30),oral
144,Acidum phosphoricum dilutum golyócskák (C 200),oral
145,Acidum phosphoricum dilutum golyócskák (C 5),oral
146,Acidum phosphoricum dilutum golyócskák (C 6),oral
147,Acidum phosphoricum dilutum golyócskák (C 9),oral
148,Acidum phosphoricum dilutum golyócskák (C1000),oral
149,Acidum phosphoricum dilutum golyócskák (C10000),oral
150,Acidum phosphoricum dilutum golyócskák (C12),oral
151,Acidum phosphoricum dilutum golyócskák (C15),oral
152,Acidum phosphoricum dilutum golyócskák (C30),oral
153,Acidum phosphoricum dilutum golyócskák (D   4),oral
154,Acidum phosphoricum dilutum golyócskák (D   6),oral
155,Acidum phosphoricum dilutum golyócskák (D  12),oral
156,Acidum phosphoricum dilutum golyócskák (D  30),oral
157,Acidum phosphoricum dilutum golyócskák (D 200),oral
158,Acidum phosphoricum dilutum golyócskák (D 4),oral
159,Acidum phosphoricum dilutum golyócskák (D 5),oral
160,Acidum phosphoricum dilutum golyócskák (D 6),oral
161,Acidum phosphoricum dilutum golyócskák (D10),oral
162,Acidum phosphoricum dilutum golyócskák (D1000),oral
163,Acidum phosphoricum dilutum golyócskák (D12),oral
164,Acidum phosphoricum dilutum golyócskák (D30),oral
165,Acidum phosphoricum golyócskák (C  5),oral
166,Acidum phosphoricum golyócskák (C  6),oral
167,Acidum phosphoricum golyócskák (C  9),oral
168,Acidum phosphoricum golyócskák (C 12),oral
169,Acidum phosphoricum golyócskák (C 15),oral
170,Acidum phosphoricum golyócskák (C 30),oral
171,Acidum phosphoricum golyócskák (C200),oral
172,Acidum sulfuricum golyócskák (  2CH),oral
173,Acidum sulfuricum golyócskák (  5CH),oral
174,Acidum sulfuricum golyócskák (  6CH),oral
175,Acidum sulfuricum golyócskák (  9CH),oral
176,Acidum sulfuricum golyócskák ( 12CH),oral
177,Acidum sulfuricum golyócskák ( 15CH),oral
178,Acidum sulfuricum golyócskák ( 30CH),oral
179,Acidum sulfuricum golyócskák (200CH),oral
180,ACIDUM SULFURICUM golyócskák (C     5),oral
181,ACIDUM SULFURICUM golyócskák (C     6),oral
182,ACIDUM SULFURICUM golyócskák (C     9),oral
183,ACIDUM SULFURICUM golyócskák (C    12),oral
184,ACIDUM SULFURICUM golyócskák (C    15),oral
185,ACIDUM SULFURICUM golyócskák (C    30),oral
186,ACIDUM SULFURICUM golyócskák (C   200),oral
187,ACIDUM SULFURICUM golyócskák (C  1000),oral
188,ACIDUM SULFURICUM golyócskák (C 10000),oral
189,ACIDUM SULFURICUM golyócskák (C 50000),oral
190,ACIDUM SULFURICUM golyócskák (C100000),oral
191,ACIDUM SULFURICUM golyócskák (D  4),oral
192,ACIDUM SULFURICUM golyócskák (D  6),oral
193,ACIDUM SULFURICUM golyócskák (D 12),oral
194,ACIDUM SULFURICUM golyócskák (D 30),oral
195,ACIDUM SULFURICUM golyócskák (D200),oral
196,ACIDWELL 20 mg gyomornedv-ellenálló tabletta,oral
197,ACILESOL 10 mg gyomornedv-ellenálló tabletta,oral
198,ACILESOL 20 mg gyomornedv-ellenálló tabletta,oral
199,ACILIB 20 mg gyomornedv-ellenálló tabletta,oral
200,ACIPHEN kenőcs,oral
201,ACIZALEP  75 mg gyomornedv-ellenálló filmtabletta,oral
202,Aclasta 5 mg oldatos infúzió,oral
203,ACLEXA 100 mg kemény kapszula,oral
204,ACLEXA 200 mg kemény kapszula,oral
205,ACLOTIN 250 mg filmtabletta,oral
206,"ACNEX 10 mg/g+0,25 mg/g gél",oral
207,Acomplia 20 mg filmtabletta,oral
208,Aconitum napellus (Aconitum) golyócskák  (  5CH),oral
209,Aconitum napellus (Aconitum) golyócskák  (  6CH),oral
